ax,ay,az,gx,gy,gz,toe,heel
-0.7706,-0.0317,0.6564,-5.95,-27.09,8.47,0,7
-0.6237,0.1298,0.8164,7.98,-45.29,12.67,8,0
-0.3655,0.3597,1.1219,-3.43,-5.88,-2.87,8,5
-0.5949,0.0102,0.8955,-0.42,35.7,-4.97,4,5
-0.792,0.1069,0.5939,12.81,10.08,4.55,3,7
-0.6915,0.3192,0.5505,-11.34,-28.42,12.74,7,3
-0.4738,0.6939,1.0892,9.87,-29.82,5.32,4,7
-0.4978,0.0576,1.036,-14.21,35.49,-5.6,0,9
-0.9121,-0.1708,0.731,19.6,36.82,2.87,7,12
-0.671,0.1181,0.4651,8.82,-5.81,9.73,6,11
-0.8179,0.5973,0.7857,-80.64,-29.68,8.96,16,8
-0.6603,-0.1078,0.9091,-16.45,47.81,-8.75,8,3
-0.8086,0.0381,0.5353,-1.96,-56.21,6.37,7,0
-0.5666,0.2464,0.9038,5.25,-71.4,11.34,8,10
-0.3138,0.0376,1.2307,-13.65,28.7,-8.96,8,9
-0.5334,0.0732,0.9726,-2.1,44.38,-3.43,1,12
-0.7056,0.1313,0.6754,4.76,21.56,-5.25,8,7
-0.7608,0.0498,0.6983,10.99,-65.31,6.37,16,6
-0.3089,0.205,1.1878,12.74,-39.34,4.97,8,3
-0.5002,0.1942,0.9843,-4.76,34.72,-2.38,2,3
-0.6671,0.0576,0.773,-3.5,36.82,-3.15,7,9
-0.7486,0.0712,0.5885,-5.81,7.07,0,6,6
-0.7032,0.1127,0.6461,4.97,-30.52,3.78,4,5
-0.4099,0.1742,1.1043,1.26,-8.12,1.47,3,9
-0.5627,0.1259,0.9028,-9.8,32.9,-3.57,8,9
-0.6769,0.0551,0.7725,0.63,31.64,-5.81,5,6
-0.7462,0.0551,0.6046,-1.89,8.4,-3.43,7,9
-0.7291,0.0234,0.5929,3.43,-27.79,2.66,3,8
-0.4997,0.1684,1.0668,0.56,-7.35,-0.91,7,4
-0.5734,0.1064,0.9287,-7.07,35.56,-4.48,8,6
-0.7505,0.0473,0.7071,3.5,35.07,-7.21,8,7
-0.7422,0.0468,0.5744,3.99,6.79,-6.23,8,5
-0.8233,0.0234,0.4758,-2.94,-34.58,-0.98,8,8
-0.7871,0.0166,0.712,22.47,-76.79,10.64,5,5
-0.2899,0.3714,1.2507,9.87,-41.37,4.13,5,7
-0.467,0.1103,1.0526,-6.44,29.96,-4.27,6,7
-0.6593,0.081,0.7808,-4.9,45.78,-4.06,0,9
-0.7662,0.0342,0.5846,-7,18.48,-5.39,3,5
-0.8067,-0.0264,0.5295,0.77,-25.69,3.29,9,6
-0.7198,0.0166,0.6315,11.06,-66.64,13.37,4,8
