ax,ay,az,gx,gy,gz,toe,heel
-0.5744,0.0961,0.8516,-0.49,-2.45,1.19,6,447
-0.569,0.0966,0.8491,-0.42,-2.24,1.26,4,448
-0.5724,0.0961,0.8428,-0.35,-2.24,1.33,3,447
-0.5705,0.0956,0.8477,-0.49,-2.38,1.19,11,452
-0.568,0.0981,0.8438,-0.42,-2.31,1.12,9,455
-0.5705,0.0952,0.8477,-0.35,-2.45,0.98,2,455
-0.5729,0.0976,0.8457,-0.49,-2.73,0.84,7,451
-0.5695,0.0966,0.8477,-0.63,-2.38,1.26,5,456
-0.571,0.0976,0.8442,-0.63,-2.31,1.33,8,453
-0.571,0.0937,0.8506,-0.35,-2.24,1.05,7,453
-0.569,0.0971,0.8447,-0.42,-2.24,1.19,12,456
-0.5714,0.0971,0.8472,-0.49,-2.52,1.19,6,458
-0.5685,0.0976,0.8462,-0.28,-2.17,1.19,2,451
-0.5714,0.0966,0.8452,-0.49,-2.31,1.19,8,451
-0.5714,0.0966,0.8486,-0.28,-2.52,1.19,4,456
-0.5729,0.0971,0.8457,-0.35,-2.24,1.19,6,456
-0.571,0.0991,0.8467,-0.42,-2.59,1.05,7,452
-0.569,0.0956,0.8481,-0.28,-2.38,1.05,8,456
-0.5719,0.0942,0.8462,-0.42,-2.52,1.05,8,447
-0.5724,0.0981,0.8477,-0.28,-2.59,0.98,2,453
-0.5719,0.0956,0.8477,-0.42,-2.1,1.05,8,450
-0.5724,0.0952,0.8501,-0.21,-2.24,1.26,7,450
-0.569,0.0952,0.8496,-0.63,-1.75,1.47,8,447
-0.569,0.0966,0.8481,-0.56,-2.1,1.4,7,454
-0.5714,0.0961,0.8501,-0.35,-2.31,1.12,10,446
-0.5685,0.0961,0.8462,-0.84,-2.31,1.33,8,447
-0.5705,0.0956,0.8491,-0.14,-2.59,0.7,10,448
-0.5729,0.0966,0.8477,-0.77,-2.31,1.26,0,439
-0.5724,0.0937,0.8477,-0.42,-2.1,1.4,12,445
-0.5724,0.0991,0.8467,-0.21,-2.73,0.91,6,448
-0.5714,0.0981,0.8462,-0.49,-2.45,1.12,8,439
-0.5734,0.0952,0.8481,-0.42,-2.31,1.05,8,439
-0.5714,0.0966,0.8462,-0.49,-2.52,1.05,8,447
-0.5729,0.0986,0.8442,-0.42,-2.73,1.19,5,448
-0.571,0.0956,0.8457,-0.28,-2.66,0.84,8,445
-0.5729,0.0971,0.8472,-0.42,-2.52,1.19,3,439
-0.5714,0.0976,0.8491,-0.49,-1.96,1.19,8,446
-0.57,0.0937,0.8472,-0.49,-2.31,1.4,7,438
-0.568,0.0966,0.8486,-0.42,-2.45,1.05,4,446
-0.5724,0.0961,0.8457,-0.63,-2.52,1.26,9,448
-0.5719,0.0947,0.8467,-0.28,-2.1,1.47,6,440
-0.5739,0.0976,0.8452,-0.91,-2.66,1.33,0,442
-0.5754,0.0966,0.8462,-0.42,-2.17,1.26,8,443
-0.57,0.0947,0.8447,-0.21,-2.66,1.05,6,442
-0.5714,0.0956,0.8481,-0.14,-2.59,1.05,9,448
-0.5734,0.0981,0.8486,-0.21,-2.52,1.33,4,446
-0.5695,0.0981,0.8477,-0.7,-2.45,1.33,5,445
-0.5705,0.0952,0.8481,-0.77,-2.45,1.19,10,446
-0.5719,0.0966,0.8477,-0.28,-2.52,1.19,4,449
-0.5705,0.0996,0.8438,-0.56,-2.45,1.33,5,448
-0.5695,0.0981,0.8472,-0.21,-2.31,1.12,6,450
-0.5724,0.0971,0.8457,-0.77,-2.24,1.33,3,445
