ax,ay,az,gx,gy,gz,heel,toe
-2.1340,-0.2001,0.8203,79.1000,-83.3000,77.6300,12,9
-1.5933,-0.2865,-0.1586,8.5400,-92.0500,46.3400,13,8
-2.3971,-0.5856,-0.6671,30.2400,21.8400,-28.3500,11,8
-1.4040,-0.1362,-0.8901,32.7600,102.6900,-45.9900,11,6
-5.1113,1.9813,1.5299,172.6200,210.8400,-105.6300,8,4
0.0493,0.4704,1.4503,151.1300,-53.9000,-42.7000,70,0
-0.4333,-0.5915,0.9301,35.7000,-4.2700,3.2900,278,6
-0.5500,0.0556,0.8838,18.9000,6.3000,6.0900,403,7
-0.5246,0.1161,0.9013,0.9800,8.1900,0.8400,496,7
-0.5134,0.0503,0.9062,5.2500,15.9600,3.2900,549,8
-0.5031,0.0956,0.9238,10.9200,31.1500,2.0300,601,0
-0.5441,0.1220,0.8813,7.7000,45.2200,-0.3500,644,7
-0.5919,0.1132,0.8467,3.7800,50.3300,-5.3900,689,9
-0.6071,0.0893,0.8164,6.7200,53.6200,-6.9300,718,6
-0.6398,0.1098,0.7871,7.7700,55.4400,-8.7500,762,10
-0.6876,0.1059,0.7427,4.8300,53.8300,-10.7800,774,9
-0.7032,0.0781,0.7188,6.0900,52.8500,-6.8600,802,5
-0.7271,0.0576,0.7017,4.6900,52.0800,-2.2400,829,3
-0.7237,0.1015,0.7066,0.0700,54.0400,-0.3500,861,6
-0.6681,0.1562,0.7930,-4.9700,80.5000,-6.5800,888,7
-0.6202,0.0781,0.8721,-9.0300,125.3000,-5.1800,893,3
-0.5266,0.2611,1.0038,-0.9100,221.0600,-28.4900,810,9
-1.0429,0.0459,1.2581,-4.8300,356.7200,-36.0500,328,5
-1.7900,-0.0127,0.8999,48.5800,417.5500,-27.1600,37,9
-2.4707,0.2713,1.1941,77.9800,248.2200,-55.4400,27,6
-1.0170,-0.1923,1.6777,57.5400,-49.4200,-72.6600,16,6
0.3123,0.1547,0.9394,93.3800,-150.5000,-45.3600,17,5
-0.1035,0.1527,0.8286,77.1400,-219.1700,38.0800,17,0
-0.3709,-0.4128,0.7774,73.6400,-320.0400,76.5100,23,3
-0.8169,-0.4016,0.8838,134.8900,-342.9300,19.8100,20,3
-0.9936,-0.3655,0.8935,119.3500,-322.7000,-25.3400,22,12
-1.0385,-0.0307,1.1190,77.6300,-281.4700,-30.5900,16,8
-1.2112,-0.2006,0.9618,89.0400,-179.8300,-1.8200,14,4
-2.6572,-0.1186,0.8008,131.5300,-80.8500,48.2300,15,8
-1.7905,-0.3728,-0.5202,50.8900,-66.9200,15.8200,19,8
-2.5215,-0.6695,-0.9941,70.7700,10.5000,-79.1000,5,10
-1.4625,0.2616,-0.8457,39.4100,131.8800,-60.6900,4,8
-6.0902,1.0780,2.9744,-774.2700,-207.6200,90.9300,12,7
-0.2206,2.9841,1.4118,31.7100,-73.9200,-12.8800,100,7
-0.4324,-0.2811,1.0165,87.0100,4.6900,-8.9600,277,25
-0.5129,0.0922,0.8862,14.3500,6.6500,3.7800,384,15
-0.5436,0.0644,0.8877,8.6100,12.0400,0.1400,459,1
-0.5085,0.0698,0.9150,7.4900,21.1400,0.4200,548,8
-0.5012,0.0830,0.9223,8.6800,39.8300,-1.1200,601,6
-0.5802,0.0722,0.8442,5.0400,50.7500,-4.2700,643,8
-0.6002,0.1186,0.8184,5.8800,50.7500,-6.2300,660,3
-0.6320,0.1059,0.8076,3.6400,52.5700,-12.0400,683,3
-0.6559,0.0503,0.7632,4.2700,53.6200,-12.1100,724,6
-0.6861,0.0566,0.7379,5.3900,55.3000,-7.9100,765,4
-0.7154,0.0595,0.7130,4.4100,56.5600,-0.7000,777,6
-0.7349,0.1054,0.7003,1.1200,57.1900,0.9100,828,3
-0.6910,0.1098,0.7740,-2.3800,71.3300,-2.4500,863,7
-0.6242,0.0224,0.8194,0.9800,112.7000,0.3500,870,3
