ax,ay,az,gx,gy,gz,toe,heel
-0.4753,0.591,1.7939,41.51,-88.48,-12.6,16,14
-0.9004,0.3606,1.4108,93.03,-163.1,55.44,16,11
-0.8159,0.3323,0.9862,76.09,-231.42,39.83,11,16
-1.0141,0.164,0.9321,99.05,-291.69,51.94,16,12
-0.8916,0.3538,0.9077,109.06,-294.98,82.25,13,7
-1.4684,0.4982,1.1863,118.02,-316.05,158.76,16,13
-2.0174,-0.4046,1.117,82.39,-283.15,241.85,7,7
-2.2785,-0.5153,-0.02,42,-226.59,131.11,9,9
-2.4932,-1.4025,-1.4279,83.58,-72.73,35.21,9,8
-1.5191,0.6759,-1.2927,-205.59,122.71,-6.58,11,16
-0.2225,-0.8838,2.8485,40.53,360.22,-113.54,11,929
-3.963,-0.4128,1.6812,-105.42,89.11,-83.65,2,924
-0.651,0.7696,1.0194,-85.54,32.2,-31.92,258,604
-0.815,0.3113,0.9496,-22.96,28.84,-19.95,538,156
-0.5226,0.2103,0.8804,-3.01,53.41,-4.06,689,12
-0.3094,0.263,1.2917,-31.43,142.31,-14.84,772,5
-0.2962,0.2064,0.9331,-34.65,255.36,-50.75,740,8
-1.2639,0.0171,0.733,-70.63,296.17,-69.58,238,16
-1.0302,-0.1088,0.5929,-43.96,275.87,-49.56,19,16
-1.6724,-0.1859,0.7706,-30.03,228.62,-34.23,11,22
-1.1722,-0.0893,0.8125,-34.37,180.46,-23.94,12,16
-1.2766,-0.2118,1.9525,5.25,91.91,-26.95,16,20
-0.6193,0.6285,2.2233,94.15,10.78,-66.99,9,16
-0.5119,0.5183,1.768,54.25,-132.86,-44.31,13,15
-0.8247,0.5534,1.2273,103.88,-214.48,20.16,11,12
-0.8023,0.4026,0.7828,87.43,-263.48,34.16,14,16
-0.8662,0.3704,0.7935,107.17,-293.72,95.06,13,13
-1.1531,0.3148,1.219,94.85,-303.45,157.08,15,11
-1.6938,0.6427,1.2132,52.92,-343.56,212.03,6,10
-2.5103,-0.326,0.7354,59.99,-288.4,207.27,7,11
-2.5874,-0.6612,-0.7915,46.62,-180.53,99.26,7,7
-3.1901,-1.2825,-2.0252,-40.67,58.59,23.1,5,6
-0.812,-1.6465,-1.3318,-70.14,322.42,-78.4,8,595
-2.052,0.0483,0.9599,-179.06,178.57,-97.09,8,1023
-2.0711,0.7725,1.442,138.81,5.88,-53.76,161,748
-0.57,0.1401,0.9233,-3.43,22.33,-20.16,479,320
-0.5724,0.2718,0.9862,3.43,45.36,-3.64,666,16
-0.3084,0.2533,1.3591,-5.25,124.25,-5.74,760,8
-0.162,0.0264,1.1263,-24.43,257.53,-49.42,735,13
